Alphanumeric code,Serial number,Number of vials,Complete
TCSC_bv_hym_13Jul22,100,4,
NSCS_sn_hym_13Jul22,101,2,
SELS_bv_hym_26Jul22,102,3,Yes
SELS_bv_hym_30Sep22,103,1,Yes
SAS_bv_hym_29Sep22,104,3,Yes
NCTC_bv_hym_17Aug22,105,2,
TAD_bv_hym_26Aug22,106,4,
SLSC_sn_hym_25Aug22,107,3,
TY_bv_hym_30Sep22,108,1,Yes
TSSS_sn_hym_30Sep22,109,1,Yes
NCTC_bv_hym_31Aug22,110,2,Yes
TSSS_bv_hym_31Aug22,111,2,
NSSN_bv_hym_13Sep22,112,1,Yes
NCTC_bv_hym_30Sep22,113,2,Yes
TAD_bv_hym_13Sep22,114,3,
SAS_bv_hym_19Oct22,115,2,Yes
NSCS_bv_hym_20Oct22,116,2,Yes
SAS_bv_hym_28Jul22,117,2,Yes
NCTC_bv_hym_20Oct22,118,4,
SLSC_bv_hym_14Oct22,119,3,Yes
SELS_sn_hym_12Jul22,120,3,
TAD_pf_hym_22Jul22,121,2,
NSCN_sn_hym_26Aug22,122,1,
SLNS_pf_hym_12Jul22,123,3,Yes
NSCN_sn_hym_20Oct22,124,1,Yes
SLSC_sn_hym_19Oct22,125,1,Yes
NCTC_sn_hym_31Aug22,126,2,
NSSN_bv_hym_31Aug22,127,1,Yes
SELS_sn_hym_26Jul22,128,2,
TSCS_bv_hym_28Sep22,129,2,
SELS_bv_hym_19Oct22,130,1,yes
TAD_bv_hym_20Oct22,131,2,yes
TSSS_bv_hym_15Jul22,132,2,yes
TY_bv_hym_2Aug22,133,2,Yes
NSSN_bv_hym_2Aug22,134,3,
NSSN_bv_hym_12Aug22,135,2,Yes
NCTC_sn_hym_21Aug22,136,2,
TSCS_sn_hym_11Aug22,137,3,
SLSC_bv_hym_26Jul22,138,3,
TSCS_bv_hym_15Jul22,139,2,yes
TAD_sn_hym_28Sep22,140,1,Yes
SELS_bv_hym_12Jul22,141,4,yes
TSCS_bv_hym_7Jul22,142,1,yes
TY_sn_hym_14Sep22,143,6,yes
NCTC_sn_hym_14Sep22,144,6,yes
NSSN_bv_hym_15July22,145,5,yes
NSCN_sn_hym_28Sep22,146,4,yes
NCTC_bv_hym_20Oct22,147,1,yes
TAD_bv_hym_28Sep22,148,3,no
NCTC_bv_hym_14Sep22,149,4,yes
SLSC_bv_hym_26Jul22,150,5,yes
TAD_sn_hym_27Jul22,151,7,yes
TSSS_sn_hym_15Jul22,152,9,yes
TSCS_pf_hym_13Jul22,153,4,yes
SLSC_bv_hym_29Sep22,154,4,yes
TSSS_bv_hym_13Sep22,155,1,yes
NSSN_pf_hym_15Jul22,156,8,yes
NSSN_sn_hym_15Jul22,157,6,no
SLSC_sw_hym_29Sep22,158,3,yes
NCTC_pf_hym_15Jul22,159,4,no
SLNS_bv_hym_29Sep22,160,2,yes
NSCN_sn_hym_27Jul22,161,2,no
SLNS_sn_hym_29Sep22,162,6,yes
SAS_sn_hym_28Jul22,163,6,no
NSCN_bv_hym_11Aug22,164,5,no
